program	coverage	svtype	TR	mean	std
kanpig	32x	TOT	all	0.8507396998587066	0.0037531703706310034
kanpig	32x	TOT	outside	0.8594549471453602	0.005165368869236711
kanpig	32x	TOT	within	0.8463557186146738	0.005069847755670599
kanpig	32x	DEL	all	0.9204333484285027	0.00395047486520186
kanpig	32x	DEL	outside	0.9601135721215281	0.0051428299142186355
kanpig	32x	DEL	within	0.9063226813311387	0.004954299400037426
kanpig	32x	INS	all	0.8015846534900285	0.004186808596154504
kanpig	32x	INS	outside	0.8116116363790837	0.007395325988154232
kanpig	32x	INS	within	0.8063069895957773	0.0058994089597565625
kanpig	16x	TOT	all	0.8404436879094883	0.004922054136772283
kanpig	16x	TOT	outside	0.8495910418427712	0.005826533518141402
kanpig	16x	TOT	within	0.8359529317078412	0.005953703159748216
kanpig	16x	DEL	all	0.9089567750343857	0.0049046770334329306
kanpig	16x	DEL	outside	0.9482595023602819	0.006877515451933681
kanpig	16x	DEL	within	0.8955919480915449	0.005140913328392995
kanpig	16x	INS	all	0.7920429355779757	0.005313749833642466
kanpig	16x	INS	outside	0.8026469076097518	0.0074756298012310235
kanpig	16x	INS	within	0.7960742921577679	0.007204190414785456
kanpig	8x	TOT	all	0.8236841681859987	0.0058729634314687255
kanpig	8x	TOT	outside	0.835075585914512	0.006278370415396614
kanpig	8x	TOT	within	0.8178304475185318	0.007453884523530404
kanpig	8x	DEL	all	0.8930595946982821	0.005861785811363594
kanpig	8x	DEL	outside	0.9337371909703721	0.006724603540798529
kanpig	8x	DEL	within	0.8786997671584602	0.006620109103958146
kanpig	8x	INS	all	0.7744366929230044	0.00635142456870402
kanpig	8x	INS	outside	0.7879329343686087	0.008774330940684008
kanpig	8x	INS	within	0.7769121046909058	0.008362031212531228
svjedi	32x	TOT	all	0.7632860107823697	0.005915099148955245
svjedi	32x	TOT	outside	0.8436294478279612	0.005372293176809207
svjedi	32x	TOT	within	0.720629708216038	0.00850728019438961
svjedi	32x	DEL	all	0.8747382506703544	0.006206074105041968
svjedi	32x	DEL	outside	0.9576376439785872	0.0053630997072829185
svjedi	32x	DEL	within	0.8354603302623332	0.01064074499473414
svjedi	32x	INS	all	0.6851915815805389	0.007849586570145199
svjedi	32x	INS	outside	0.7896478480534123	0.007935902278972368
svjedi	32x	INS	within	0.644625924622357	0.010354851585752719
svjedi	16x	TOT	all	0.7630259019166877	0.005714568715960968
svjedi	16x	TOT	outside	0.8436353219160045	0.005366578048508642
svjedi	16x	TOT	within	0.7202574020803212	0.008203013677441277
svjedi	16x	DEL	all	0.8744229362968989	0.005970477463008728
svjedi	16x	DEL	outside	0.9574450146604097	0.005304634619683661
svjedi	16x	DEL	within	0.8351167894358683	0.010313671089303388
svjedi	16x	INS	all	0.6849048360971945	0.007571764494738549
svjedi	16x	INS	outside	0.7897295029451452	0.007975852678801215
svjedi	16x	INS	within	0.644162797935475	0.009915814545704317
svjedi	8x	TOT	all	0.7561301869817051	0.006319770008210507
svjedi	8x	TOT	outside	0.8397595092539931	0.006020157279273352
