program	coverage	gt_concordance	TP-base	TP-comp	FN	FP	precision	recall	f1
cutesv	16x	0.7665069030688624	20611.340425531915	18110.936170212764	2179.6170212765956	500.48936170212767	0.97298078572258	0.9042089188891095	0.937286315772626
cutesv	32x	0.7811452918045098	20864.31914893617	18365.297872340427	1944.2978723404256	506.8723404255319	0.9730243431996511	0.9146501327378297	0.9428953260379336
cutesv	8x	0.7289255736904088	20130.425531914894	17639.978723404256	2643.659574468085	493.97872340425533	0.9726267758290583	0.8838253194053678	0.9260472279775677
kanpig	16x	0.8404436879094883	20773.744680851065	18839.255319148935	2287.446808510638	498.468085106383	0.9740811058527609	0.9008054273814395	0.9360054549496674
kanpig	32x	0.8507396998587066	20827.936170212764	18905.468085106382	2227.574468085106	505.78723404255317	0.9738043858127943	0.9033705943697528	0.9372622276569804
kanpig	8x	0.8236841681859987	20446.063829787236	18508.808510638297	2607.0851063829787	476.9574468085106	0.97474440825063	0.8868371874335226	0.9287009520491489
orig	32x	0.8053516189451921	21588.23404255319	19111.106382978724	1312.8085106382978	557.7446808510638	0.9714878436106501	0.9426735626021784	0.9568594049510797
sniffles	16x	0.799997245955949	21280.106382978724	18825.042553191488	2005.6382978723404	527.8085106382979	0.9725764091640393	0.9137149582955619	0.9422201705882546
sniffles	32x	0.804315773220334	21508.978723404256	19023.76595744681	1829.1702127659576	534.7021276595744	0.9725132968835744	0.9214881659502935	0.9463095992079753
sniffles	8x	0.7759327101969328	20709.340425531915	18298.659574468085	2489.9574468085107	514.5106382978723	0.9724899217628166	0.8925460021515804	0.9307913495967859
svjedi	16x	0.7624485158877592	20924.11111111111	18463.555555555555	1334.2222222222222	619.7777777777778	0.96733775728941	0.9399330373094362	0.9534365099068042
svjedi	32x	0.7628008501885153	20940.444444444445	18477.444444444445	1319.2222222222222	620.7777777777778	0.9673069576031524	0.9406483147874395	0.9537888551680846
svjedi	8x	0.7566283779886911	20787.777777777777	18332.222222222223	1450.3333333333333	606.8888888888889	0.96777334702929	0.9345845997656492	0.9508855790809595
