program	coverage	svtype	TR	mean	std
kanpig	32x	TOT	all	0.8205814513915546	0.005806383049012936
kanpig	32x	TOT	outside	0.8896562918975482	0.00529822421086581
kanpig	32x	TOT	within	0.8171105609892745	0.0067021481533846294
kanpig	32x	DEL	all	0.8649811344840781	0.004378493637199487
kanpig	32x	DEL	outside	0.9592939300601787	0.006892488508656952
kanpig	32x	DEL	within	0.8526385375792304	0.005842699149882704
kanpig	32x	INS	all	0.7950350128991702	0.007547979647791317
kanpig	32x	INS	outside	0.8615673439002803	0.006836972677505957
kanpig	32x	INS	within	0.7978553159910418	0.009362433906372885
kanpig	16x	TOT	all	0.8088325060413026	0.0076072260064971794
kanpig	16x	TOT	outside	0.8798761588751777	0.007358855026202379
kanpig	16x	TOT	within	0.8047517891247681	0.0082396328573147
kanpig	16x	DEL	all	0.8528708870521774	0.00731574667723964
kanpig	16x	DEL	outside	0.9470279356973305	0.008901794726009188
kanpig	16x	DEL	within	0.841043603001762	0.008242733361884365
kanpig	16x	INS	all	0.7834758878750324	0.008650526393339972
kanpig	16x	INS	outside	0.8527861524765885	0.008757619402635823
kanpig	16x	INS	within	0.7850664934343387	0.010013478119989488
kanpig	8x	TOT	all	0.7781731138000122	0.011640829529680069
kanpig	8x	TOT	outside	0.8524612398734387	0.00931246830791085
kanpig	8x	TOT	within	0.7719513074879171	0.013538315396549429
kanpig	8x	DEL	all	0.8261295879117838	0.010414235178795098
kanpig	8x	DEL	outside	0.9244948877671854	0.01003972758110995
kanpig	8x	DEL	within	0.81270132077048	0.012282950990826214
kanpig	8x	INS	all	0.7504460650072667	0.012867732926933434
kanpig	8x	INS	outside	0.8233478001203359	0.01061356387740398
kanpig	8x	INS	within	0.7497322679086063	0.01522842615741014
svjedi	32x	TOT	all	0.7421098780655703	0.004681015248775703
svjedi	32x	TOT	outside	0.7859783478306531	0.007948066931780936
svjedi	32x	TOT	within	0.7243527819075076	0.00520538907580402
svjedi	32x	DEL	all	0.8817083844688761	0.00521531985580504
svjedi	32x	DEL	outside	0.974735390489567	0.005395585084061845
svjedi	32x	DEL	within	0.8560547959708423	0.008256051724725273
svjedi	32x	INS	all	0.6610019345334691	0.006220050978985759
svjedi	32x	INS	outside	0.7097330889339809	0.010751165191795252
svjedi	32x	INS	within	0.6519620631576349	0.006504843805836547
svjedi	16x	TOT	all	0.7410262693890939	0.004366837585989815
svjedi	16x	TOT	outside	0.7859491129834232	0.0080288636529386
svjedi	16x	TOT	within	0.7231347986500366	0.004757709220467366
svjedi	16x	DEL	all	0.880641046322846	0.005190825871849601
svjedi	16x	DEL	outside	0.9741746393082571	0.005438329117921652
svjedi	16x	DEL	within	0.8550321129177739	0.007965612340588698
svjedi	16x	INS	all	0.6597372532012131	0.005796181394485598
svjedi	16x	INS	outside	0.7098501233424273	0.010958764276624887
svjedi	16x	INS	within	0.6504659951010354	0.005876147779237064
svjedi	8x	TOT	all	0.7271669831600255	0.00688385827830431
svjedi	8x	TOT	outside	0.7804216821816614	0.008191605243393671
svjedi	8x	TOT	within	0.7069952654629286	0.00803541484885083
svjedi	8x	DEL	all	0.865925166373896	0.007857453785004768
svjedi	8x	DEL	outside	0.9656978932527488	0.007526292583522391
svjedi	8x	DEL	within	0.8380739335709327	0.010213119300644734
svjedi	8x	INS	all	0.6456999539964906	0.007340554499670531
svjedi	8x	INS	outside	0.7051735624394397	0.010797803883890653
svjedi	8x	INS	within	0.6340850851655289	0.008338418087197015
sniffles	32x	TOT	all	0.6705587986695088	0.004265835064842534
sniffles	32x	TOT	outside	0.7439105474673787	0.00861059744971922
sniffles	32x	TOT	within	0.6426244039070038	0.004798178952514653
sniffles	32x	DEL	all	0.8179015259915529	0.005869334777359789
sniffles	32x	DEL	outside	0.9624142923506965	0.006255824913550563
sniffles	32x	DEL	within	0.7769112784980253	0.009826205176793397
sniffles	32x	INS	all	0.5857394147246878	0.005248551615747998
sniffles	32x	INS	outside	0.6557328765812432	0.01163858523623774
sniffles	32x	INS	within	0.5697251900013325	0.005007956656593481
sniffles	16x	TOT	all	0.6672820405352776	0.004973322005274419
sniffles	16x	TOT	outside	0.7357101750104956	0.009620548879803919
sniffles	16x	TOT	within	0.6403256066147177	0.005562289659273555
sniffles	16x	DEL	all	0.8097884204770323	0.006480975389196314
sniffles	16x	DEL	outside	0.9527750992033617	0.00863549986619127
sniffles	16x	DEL	within	0.7693750472417571	0.008903656826904685
sniffles	16x	INS	all	0.5851997118035533	0.005821036800998315
sniffles	16x	INS	outside	0.6481172494577386	0.012312522421594835
sniffles	16x	INS	within	0.570205457483193	0.005896825362962434
sniffles	8x	TOT	all	0.6407732867408268	0.007966456962816554
sniffles	8x	TOT	outside	0.7022499817145275	0.01284796879346398
sniffles	8x	TOT	within	0.6156484270690503	0.007919785423144268
sniffles	8x	DEL	all	0.7717852194299962	0.011646504017455107
sniffles	8x	DEL	outside	0.9118477363355728	0.013953229514561492
sniffles	8x	DEL	within	0.732675926693538	0.013284346351102972
sniffles	8x	INS	all	0.5650902072410994	0.007173148509787732
sniffles	8x	INS	outside	0.6176346581503294	0.014864752952745542
sniffles	8x	INS	within	0.5518566487414727	0.006840157614189861
cutesv	32x	TOT	all	0.6382538460804366	0.005770550919194504
cutesv	32x	TOT	outside	0.7694866559376202	0.00729849047930748
cutesv	32x	TOT	within	0.6007698099350205	0.006879542003457402
cutesv	32x	DEL	all	0.7682660948147011	0.005022295758381025
cutesv	32x	DEL	outside	0.943884872113022	0.009901389919370085
cutesv	32x	DEL	within	0.7209360802408901	0.007227521463432761
cutesv	32x	INS	all	0.5629816052448327	0.0075055122377229895
cutesv	32x	INS	outside	0.699070658567943	0.00926584285259006
cutesv	32x	INS	within	0.5349225193631539	0.009010144647588904
cutesv	16x	TOT	all	0.6161849285447787	0.009043519975055859
cutesv	16x	TOT	outside	0.7468255818447329	0.011119620389180122
cutesv	16x	TOT	within	0.5785484784789774	0.009449671795798793
cutesv	16x	DEL	all	0.746859347334049	0.009052007027284944
cutesv	16x	DEL	outside	0.9217777975735632	0.01260227249378012
cutesv	16x	DEL	within	0.7004369449657014	0.010108746819970633
cutesv	16x	INS	all	0.5405302990842785	0.00989130991486003
cutesv	16x	INS	outside	0.6761847350994861	0.01253662429286224
cutesv	16x	INS	within	0.5117569767718181	0.01047934758408836
cutesv	8x	TOT	all	0.563010586690551	0.013323841621238536
cutesv	8x	TOT	outside	0.6925022029307022	0.015488139202766808
cutesv	8x	TOT	within	0.5233733658404642	0.014264262507296541
cutesv	8x	DEL	all	0.6960070848269453	0.013151348147061283
cutesv	8x	DEL	outside	0.8693500174776847	0.016361056726729117
cutesv	8x	DEL	within	0.6487598661114685	0.014231424324172145
cutesv	8x	INS	all	0.48601290072093667	0.013958577563589827
cutesv	8x	INS	outside	0.6211130356206056	0.017140994265701273
cutesv	8x	INS	within	0.4546675552091879	0.015166407476453635
