REF	HET	HOM	NON	UNK	program	sample	technology	coverage	experiment
0	19660	5189	0	0	baseline	HG002	r10	16x	truth
3952	14400	6329	809	0	kanpig	HG002	r10	16x	ts
586	13900	10650	353	0	svjedi	HG002	r10	16x	ts
2540	12081	10755	113	0	sniffles	HG002	r10	16x	ts
6534	10765	8190	108	0	cutesv	HG002	r10	16x	ts
1444	11458	6880	161	0	kanpig	HG002	r10	16x	ds
509	11000	8328	106	0	svjedi	HG002	r10	16x	ds
1406	10985	7512	40	0	sniffles	HG002	r10	16x	ds
2982	9953	7007	0	0	cutesv	HG002	r10	16x	ds
488	11588	7835	0	0	orig	HG002	r10	16x	ds
0	19660	5189	0	0	baseline	HG002	r9	16x	truth
4866	13849	5981	794	0	kanpig	HG002	r9	16x	ts
434	14417	10373	265	0	svjedi	HG002	r9	16x	ts
2765	11658	10956	110	0	sniffles	HG002	r9	16x	ts
6751	10417	8321	108	0	cutesv	HG002	r9	16x	ts
2663	10643	6182	172	0	kanpig	HG002	r9	16x	ds
457	11068	8001	134	0	svjedi	HG002	r9	16x	ds
1489	10544	7590	37	0	sniffles	HG002	r9	16x	ds
2822	9866	6972	0	0	cutesv	HG002	r9	16x	ds
488	11588	7835	0	0	orig	HG002	r9	16x	ds
0	19660	5189	0	0	baseline	HG002	r10	32x	truth
3985	14531	6181	793	0	kanpig	HG002	r10	32x	ts
555	13943	10717	274	0	svjedi	HG002	r10	32x	ts
2285	12019	11093	92	0	sniffles	HG002	r10	32x	ts
6136	11370	7983	108	0	cutesv	HG002	r10	32x	ts
1369	11791	6627	156	0	kanpig	HG002	r10	32x	ds
488	11029	8334	92	0	svjedi	HG002	r10	32x	ds
1062	11199	7643	39	0	sniffles	HG002	r10	32x	ds
2546	10695	6701	0	0	cutesv	HG002	r10	32x	ds
488	11588	7835	0	0	orig	HG002	r10	32x	ds
0	19660	5189	0	0	baseline	HG002	r9	32x	truth
4884	14108	5720	778	0	kanpig	HG002	r9	32x	ts
402	14439	10445	203	0	svjedi	HG002	r9	32x	ts
2303	11577	11508	101	0	sniffles	HG002	r9	32x	ts
6304	11016	8169	108	0	cutesv	HG002	r9	32x	ts
2692	10919	5878	171	0	kanpig	HG002	r9	32x	ds
417	11078	8037	128	0	svjedi	HG002	r9	32x	ds
1134	10762	7726	38	0	sniffles	HG002	r9	32x	ds
2345	10597	6718	0	0	cutesv	HG002	r9	32x	ds
488	11588	7835	0	0	orig	HG002	r9	32x	ds
0	19660	5189	0	0	baseline	HG002	r10	8x	truth
4511	13630	6458	891	0	kanpig	HG002	r10	8x	ts
964	13075	10878	572	0	svjedi	HG002	r10	8x	ts
2994	11512	10824	159	0	sniffles	HG002	r10	8x	ts
7005	9345	9139	108	0	cutesv	HG002	r10	8x	ts
1910	10907	6909	217	0	kanpig	HG002	r10	8x	ds
801	10437	8536	169	0	svjedi	HG002	r10	8x	ds
