Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	num_neigh	program	sample	technology	coverage	experiment
11075	1557	0	0	15687	1347	7882	348	0	kanpig	HG002	r10	16x	ts
4994	2746	0	0	6338	1866	6333	943	1	kanpig	HG002	r10	16x	ts
1319	595	0	0	1641	483	1562	142	2	kanpig	HG002	r10	16x	ts
701	399	0	0	860	290	933	117	3	kanpig	HG002	r10	16x	ts
345	243	0	0	425	186	502	63	4	kanpig	HG002	r10	16x	ts
152	145	0	0	191	114	256	33	5	kanpig	HG002	r10	16x	ts
60	88	0	0	85	64	123	24	6	kanpig	HG002	r10	16x	ts
42	59	0	0	53	48	90	11	7	kanpig	HG002	r10	16x	ts
25	69	0	0	43	54	75	16	8	kanpig	HG002	r10	16x	ts
9	11	0	0	11	9	18	2	9	kanpig	HG002	r10	16x	ts
20	26	0	0	22	24	44	2	10	kanpig	HG002	r10	16x	ts
12008	594	0	0	16745	266	7842	351	0	svjedi	HG002	r10	16x	ts
3506	4069	0	0	7805	236	3268	3841	1	svjedi	HG002	r10	16x	ts
1245	647	0	0	1998	105	1136	545	2	svjedi	HG002	r10	16x	ts
695	395	0	0	1087	53	698	342	3	svjedi	HG002	r10	16x	ts
426	155	0	0	568	36	438	120	4	svjedi	HG002	r10	16x	ts
205	91	0	0	279	25	222	66	5	svjedi	HG002	r10	16x	ts
91	55	0	0	135	12	102	43	6	svjedi	HG002	r10	16x	ts
73	28	0	0	91	10	83	18	7	svjedi	HG002	r10	16x	ts
62	31	0	0	79	17	76	14	8	svjedi	HG002	r10	16x	ts
10	8	0	0	17	1	11	7	9	svjedi	HG002	r10	16x	ts
31	15	0	0	41	5	36	10	10	svjedi	HG002	r10	16x	ts
11261	1361	0	0	15945	1076	7857	366	0	sniffles	HG002	r10	16x	ts
2705	5035	0	0	7446	758	2912	4364	1	sniffles	HG002	r10	16x	ts
1000	916	0	0	1648	478	1216	490	2	sniffles	HG002	r10	16x	ts
501	596	0	0	836	311	757	290	3	sniffles	HG002	r10	16x	ts
276	311	0	0	444	166	415	149	4	sniffles	HG002	r10	16x	ts
138	157	0	0	204	99	227	60	5	sniffles	HG002	r10	16x	ts
54	94	0	0	99	50	103	44	6	sniffles	HG002	r10	16x	ts
31	70	0	0	64	37	68	33	7	sniffles	HG002	r10	16x	ts
23	71	0	0	70	27	47	44	8	sniffles	HG002	r10	16x	ts
7	13	0	0	12	8	15	5	9	sniffles	HG002	r10	16x	ts
25	20	0	0	31	14	39	6	10	sniffles	HG002	r10	16x	ts
10544	2078	0	0	15168	1876	7770	430	0	cutesv	HG002	r10	16x	ts
2872	4864	0	0	6206	1996	4132	3138	1	cutesv	HG002	r10	16x	ts
570	1350	0	0	806	1326	1527	181	2	cutesv	HG002	r10	16x	ts
206	893	0	0	299	850	965	84	3	cutesv	HG002	r10	16x	ts
76	510	0	0	93	516	547	16	4	cutesv	HG002	r10	16x	ts
27	269	0	0	33	271	282	6	5	cutesv	HG002	r10	16x	ts
9	139	0	0	11	138	145	2	6	cutesv	HG002	r10	16x	ts
5	96	0	0	6	95	100	1	7	cutesv	HG002	r10	16x	ts
3	91	0	0	3	94	91	0	8	cutesv	HG002	r10	16x	ts
0	19	0	0	0	19	19	0	9	cutesv	HG002	r10	16x	ts
0	46	0	0	0	46	46	0	10	cutesv	HG002	r10	16x	ts
11029	1480	0	0	15617	349	7791	1261	0	kanpig	HG002	r10	16x	ds
2410	4452	0	0	5916	3286	3278	1244	1	kanpig	HG002	r10	16x	ds
570	492	0	0	871	255	730	268	2	kanpig	HG002	r10	16x	ds
172	282	0	0	317	133	306	152	3	kanpig	HG002	r10	16x	ds
84	113	0	0	125	39	153	77	4	kanpig	HG002	r10	16x	ds
35	62	0	0	42	6	86	60	5	kanpig	HG002	r10	16x	ds
6	47	0	0	11	5	48	42	6	kanpig	HG002	r10	16x	ds
