Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	svtype	program	sample	technology	coverage	experiment
7225	1541	35	715	9965	1232	5919	416	DEL	kanpig	HG002	r10	16x	ts
11517	4397	60	0	15391	3253	11899	1285	INS	kanpig	HG002	r10	16x	ts
18742	5938	95	715	25356	4485	17818	1701	TOT	kanpig	HG002	r10	16x	ts
7791	981	29	714	10942	267	5601	734	DEL	svjedi	HG002	r10	16x	ts
10561	5107	306	0	17903	499	8311	4623	INS	svjedi	HG002	r10	16x	ts
18352	6088	335	714	28845	766	13912	5357	TOT	svjedi	HG002	r10	16x	ts
6899	1873	29	714	10169	1035	5400	940	DEL	sniffles	HG002	r10	16x	ts
9122	6771	81	0	16630	1989	8256	4911	INS	sniffles	HG002	r10	16x	ts
16021	8644	110	714	26799	3024	13656	5851	TOT	sniffles	HG002	r10	16x	ts
6074	2727	0	714	8797	2448	5771	586	DEL	cutesv	HG002	r10	16x	ts
8238	7628	108	108	13828	4779	9853	3272	INS	cutesv	HG002	r10	16x	ts
14312	10355	108	822	22625	7227	15624	3858	TOT	cutesv	HG002	r10	16x	ts
6421	1550	0	0	9341	718	4937	946	DEL	kanpig	HG002	r10	16x	ds
7889	5465	0	0	13563	3356	7544	2245	INS	kanpig	HG002	r10	16x	ds
14310	7015	0	0	22904	4074	12481	3191	TOT	kanpig	HG002	r10	16x	ds
6497	1424	0	0	9637	918	4694	593	DEL	svjedi	HG002	r10	16x	ds
7375	5754	0	0	14447	4737	5951	1123	INS	svjedi	HG002	r10	16x	ds
13872	7178	0	0	24084	5655	10645	1716	TOT	svjedi	HG002	r10	16x	ds
6358	1638	0	0	9370	794	4889	939	DEL	sniffles	HG002	r10	16x	ds
7446	6166	0	0	13992	4215	6903	2114	INS	sniffles	HG002	r10	16x	ds
13804	7804	0	0	23362	5009	11792	3053	TOT	sniffles	HG002	r10	16x	ds
5774	2289	0	0	8528	644	5079	1875	DEL	cutesv	HG002	r10	16x	ds
7159	6288	0	0	13318	3883	7082	2611	INS	cutesv	HG002	r10	16x	ds
12933	8577	0	0	21846	4527	12161	4486	TOT	cutesv	HG002	r10	16x	ds
6678	1294	0	0	9698	767	4891	588	DEL	orig	HG002	r10	16x	ds
7911	5371	0	0	14714	4411	6397	1042	INS	orig	HG002	r10	16x	ds
14589	6665	0	0	24412	5178	11288	1630	TOT	orig	HG002	r10	16x	ds
6958	1818	25	715	9641	1569	5961	381	DEL	kanpig	HG002	r9	16x	ts
10741	5178	55	0	14521	4130	11921	1266	INS	kanpig	HG002	r9	16x	ts
17699	6996	80	715	24162	5699	17882	1647	TOT	kanpig	HG002	r9	16x	ts
7850	924	27	714	10977	234	5633	704	DEL	svjedi	HG002	r9	16x	ts
10848	4904	222	0	18028	460	8562	4454	INS	svjedi	HG002	r9	16x	ts
18698	5828	249	714	29005	694	14195	5158	TOT	svjedi	HG002	r9	16x	ts
6829	1937	35	714	10145	1055	5349	983	DEL	sniffles	HG002	r9	16x	ts
8758	7146	70	0	16414	2221	8104	5069	INS	sniffles	HG002	r9	16x	ts
15587	9083	105	714	26559	3276	13453	6052	TOT	sniffles	HG002	r9	16x	ts
6020	2781	0	714	8729	2516	5775	582	DEL	cutesv	HG002	r9	16x	ts
7906	7960	108	108	13653	4954	9688	3437	INS	cutesv	HG002	r9	16x	ts
13926	10741	108	822	22382	7470	15463	4019	TOT	cutesv	HG002	r9	16x	ts
6153	1864	0	0	8932	607	5098	1397	DEL	kanpig	HG002	r9	16x	ds
6914	6526	0	0	12064	2999	7964	3853	INS	kanpig	HG002	r9	16x	ds
13067	8390	0	0	20996	3606	13062	5250	TOT	kanpig	HG002	r9	16x	ds
6371	1472	0	0	9476	907	4650	653	DEL	svjedi	HG002	r9	16x	ds
7319	5714	0	0	14161	4527	6080	1298	INS	svjedi	HG002	r9	16x	ds
13690	7186	0	0	23637	5434	10730	1951	TOT	svjedi	HG002	r9	16x	ds
6254	1727	0	0	9249	802	4888	1023	DEL	sniffles	HG002	r9	16x	ds
7083	6401	0	0	13682	4299	6707	2280	INS	sniffles	HG002	r9	16x	ds
13337	8128	0	0	22931	5101	11595	3303	TOT	sniffles	HG002	r9	16x	ds
5771	2304	0	0	8507	636	5112	1895	DEL	cutesv	HG002	r9	16x	ds
6992	6376	0	0	13138	3888	7007	2703	INS	cutesv	HG002	r9	16x	ds
12763	8680	0	0	21645	4524	12119	4598	TOT	cutesv	HG002	r9	16x	ds
6678	1294	0	0	9698	767	4891	588	DEL	orig	HG002	r9	16x	ds
7911	5371	0	0	14714	4411	6397	1042	INS	orig	HG002	r9	16x	ds
14589	6665	0	0	24412	5178	11288	1630	TOT	orig	HG002	r9	16x	ds
7397	1377	27	715	10019	1188	6047	294	DEL	kanpig	HG002	r10	32x	ts
11508	4414	52	0	15341	3312	11953	1238	INS	kanpig	HG002	r10	32x	ts
18905	5791	79	715	25360	4500	18000	1532	TOT	kanpig	HG002	r10	32x	ts
7824	956	21	714	10972	246	5614	728	DEL	svjedi	HG002	r10	32x	ts
10621	5111	242	0	18007	461	8333	4663	INS	svjedi	HG002	r10	32x	ts
18445	6067	263	714	28979	707	13947	5391	TOT	svjedi	HG002	r10	32x	ts
7090	1689	22	714	10338	875	5431	914	DEL	sniffles	HG002	r10	32x	ts
9075	6831	68	0	16825	1810	8009	5168	INS	sniffles	HG002	r10	32x	ts
16165	8520	90	714	27163	2685	13440	6082	TOT	sniffles	HG002	r10	32x	ts
6385	2416	0	714	9009	2236	5877	480	DEL	cutesv	HG002	r10	32x	ts
8589	7277	108	108	14036	4571	9995	3130	INS	cutesv	HG002	r10	32x	ts
14974	9693	108	822	23045	6807	15872	3610	TOT	cutesv	HG002	r10	32x	ts
6582	1387	0	0	9395	606	5049	888	DEL	kanpig	HG002	r10	32x	ds
8067	5264	0	0	13555	3174	7701	2232	INS	kanpig	HG002	r10	32x	ds
14649	6651	0	0	22950	3780	12750	3120	TOT	kanpig	HG002	r10	32x	ds
6513	1415	0	0	9651	913	4702	590	DEL	svjedi	HG002	r10	32x	ds
7391	5741	0	0	14482	4756	5937	1089	INS	svjedi	HG002	r10	32x	ds
13904	7156	0	0	24133	5669	10639	1679	TOT	svjedi	HG002	r10	32x	ds
6588	1392	0	0	9553	742	4923	742	DEL	sniffles	HG002	r10	32x	ds
7565	6096	0	0	14263	4367	6800	1892	INS	sniffles	HG002	r10	32x	ds
14153	7488	0	0	23816	5109	11723	2634	TOT	sniffles	HG002	r10	32x	ds
6090	1924	0	0	8734	530	5147	1617	DEL	cutesv	HG002	r10	32x	ds
7560	5832	0	0	13548	3712	7202	2322	INS	cutesv	HG002	r10	32x	ds
13650	7756	0	0	22282	4242	12349	3939	TOT	cutesv	HG002	r10	32x	ds
6678	1294	0	0	9698	767	4891	588	DEL	orig	HG002	r10	32x	ds
7911	5371	0	0	14714	4411	6397	1042	INS	orig	HG002	r10	32x	ds
14589	6665	0	0	24412	5178	11288	1630	TOT	orig	HG002	r10	32x	ds
7164	1617	20	715	9733	1483	6085	261	DEL	kanpig	HG002	r9	32x	ts
10816	5114	44	0	14428	4236	12072	1124	INS	kanpig	HG002	r9	32x	ts
17980	6731	64	715	24161	5719	18157	1385	TOT	kanpig	HG002	r9	32x	ts
7881	903	17	714	11013	211	5640	704	DEL	svjedi	HG002	r9	32x	ts
10917	4880	177	0	18121	414	8581	4478	INS	svjedi	HG002	r9	32x	ts
18798	5783	194	714	29134	625	14221	5182	TOT	svjedi	HG002	r9	32x	ts
6976	1798	27	714	10300	909	5342	997	DEL	sniffles	HG002	r9	32x	ts
8680	7223	71	0	16789	1848	7656	5513	INS	sniffles	HG002	r9	32x	ts
15656	9021	98	714	27089	2757	12998	6510	TOT	sniffles	HG002	r9	32x	ts
6296	2505	0	714	8936	2309	5850	507	DEL	cutesv	HG002	r9	32x	ts
8270	7596	108	108	13913	4694	9799	3326	INS	cutesv	HG002	r9	32x	ts
14566	10101	108	822	22849	7003	15649	3833	TOT	cutesv	HG002	r9	32x	ts
6358	1662	0	0	9013	480	5216	1331	DEL	kanpig	HG002	r9	32x	ds
6953	6510	0	0	11868	2784	8199	4075	INS	kanpig	HG002	r9	32x	ds
13311	8172	0	0	20881	3264	13415	5406	TOT	kanpig	HG002	r9	32x	ds
6380	1456	0	0	9489	910	4645	628	DEL	svjedi	HG002	r9	32x	ds
7342	5679	0	0	14225	4567	6028	1222	INS	svjedi	HG002	r9	32x	ds
13722	7135	0	0	23714	5477	10673	1850	TOT	svjedi	HG002	r9	32x	ds
6427	1546	0	0	9386	765	4910	885	DEL	sniffles	HG002	r9	32x	ds
7158	6400	0	0	13979	4512	6561	2064	INS	sniffles	HG002	r9	32x	ds
13585	7946	0	0	23365	5277	11471	2949	TOT	sniffles	HG002	r9	32x	ds
6071	2003	0	0	8729	557	5190	1672	DEL	cutesv	HG002	r9	32x	ds
7407	5996	0	0	13408	3736	7194	2468	INS	cutesv	HG002	r9	32x	ds
13478	7999	0	0	22137	4293	12384	4140	TOT	cutesv	HG002	r9	32x	ds
6678	1294	0	0	9698	767	4891	588	DEL	orig	HG002	r9	32x	ds
7911	5371	0	0	14714	4411	6397	1042	INS	orig	HG002	r9	32x	ds
14589	6665	0	0	24412	5178	11288	1630	TOT	orig	HG002	r9	32x	ds
6834	1911	56	715	9654	1512	5811	513	DEL	kanpig	HG002	r10	8x	ts
10886	4967	121	0	14918	3655	11673	1460	INS	kanpig	HG002	r10	8x	ts
17720	6878	177	715	24572	5167	17484	1973	TOT	kanpig	HG002	r10	8x	ts
7484	1262	55	714	10749	427	5460	856	DEL	svjedi	HG002	r10	8x	ts
10049	5438	487	0	17502	714	8016	4742	INS	svjedi	HG002	r10	8x	ts
